Frame,Time,Object,Type,State,Action,Target,TargetX,TargetY,TargetZ,SelfX,SelfY,SelfZ
1,0.00,AgentPrefab,Agent,IdleState,Idling,AllyPrefab (1),10.00,0.00,10.00,0.00,0.00,0.00
1,0.00,AgentPrefab,Agent,SearchState,Searching Path,AllyPrefab (1),10.00,0.00,10.00,0.00,0.00,0.00
1,0.00,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,10.00,0.00,10.00
2,0.02,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.00,0.00,0.00
2,0.02,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.00,0.00,0.00,10.00,0.00,10.00
3,0.04,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.00,0.00,0.00
3,0.04,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.03,0.00,0.03,10.00,0.00,10.00
4,0.06,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.03,0.00,0.03
4,0.06,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.06,0.00,0.06,10.00,0.00,10.00
5,0.06,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.06,0.00,0.06
5,0.06,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.06,0.00,0.06,10.00,0.00,10.00
6,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.06,0.00,0.06
6,0.07,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.07,0.00,0.07,10.00,0.00,10.00
7,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.07,0.00,0.07
7,0.07,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.07,0.00,0.07,10.00,0.00,10.00
8,0.07,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.07,0.00,0.07
8,0.07,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.07,0.00,0.07,10.00,0.00,10.00
9,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.07,0.00,0.07
9,0.08,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.08,0.00,0.08,10.00,0.00,10.00
10,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.08,0.00,0.08
10,0.08,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.08,0.00,0.08,10.00,0.00,10.00
11,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.08,0.00,0.08
11,0.08,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.09,0.00,0.09,10.00,0.00,10.00
12,0.08,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.09,0.00,0.09
12,0.08,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.09,0.00,0.09,10.00,0.00,10.00
13,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.09,0.00,0.09
13,0.09,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.09,0.00,0.09,10.00,0.00,10.00
14,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.09,0.00,0.09
14,0.09,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.10,0.00,0.10,10.00,0.00,10.00
15,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.10,0.00,0.10
15,0.09,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.10,0.00,0.10,10.00,0.00,10.00
16,0.09,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.10,0.00,0.10
16,0.09,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.10,0.00,0.10,10.00,0.00,10.00
17,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.10,0.00,0.10
17,0.10,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.11,0.00,0.11,10.00,0.00,10.00
18,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.11,0.00,0.11
18,0.10,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.11,0.00,0.11,10.00,0.00,10.00
19,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.11,0.00,0.11
19,0.10,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.11,0.00,0.11,10.00,0.00,10.00
20,0.10,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.11,0.00,0.11
20,0.10,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.12,0.00,0.12,10.00,0.00,10.00
21,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.12,0.00,0.12
21,0.11,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.12,0.00,0.12,10.00,0.00,10.00
22,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.12,0.00,0.12
22,0.11,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.13,0.00,0.13,10.00,0.00,10.00
23,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.13,0.00,0.13
23,0.11,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.13,0.00,0.13,10.00,0.00,10.00
24,0.11,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.13,0.00,0.13
24,0.11,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.13,0.00,0.13,10.00,0.00,10.00
25,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.13,0.00,0.13
25,0.12,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.14,0.00,0.14,10.00,0.00,10.00
26,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.14,0.00,0.14
26,0.12,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.14,0.00,0.14,10.00,0.00,10.00
27,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.14,0.00,0.14
27,0.12,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.14,0.00,0.14,10.00,0.00,10.00
28,0.12,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.14,0.00,0.14
28,0.12,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.15,0.00,0.15,10.00,0.00,10.00
29,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.15,0.00,0.15
29,0.13,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.15,0.00,0.15,10.00,0.00,10.00
30,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.15,0.00,0.15
30,0.13,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.15,0.00,0.15,10.00,0.00,10.00
31,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.15,0.00,0.15
31,0.13,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.16,0.00,0.16,10.00,0.00,10.00
32,0.13,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.16,0.00,0.16
32,0.13,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.16,0.00,0.16,10.00,0.00,10.00
33,0.14,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.16,0.00,0.16
33,0.14,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.17,0.00,0.17,10.00,0.00,10.00
34,0.14,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.17,0.00,0.17
34,0.14,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.17,0.00,0.17,10.00,0.00,10.00
35,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.17,0.00,0.17
35,0.15,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.18,0.00,0.18,10.00,0.00,10.00
36,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.18,0.00,0.18
36,0.15,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.18,0.00,0.18,10.00,0.00,10.00
37,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.18,0.00,0.18
37,0.15,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.18,0.00,0.18,10.00,0.00,10.00
38,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.18,0.00,0.18
38,0.15,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.19,0.00,0.19,10.00,0.00,10.00
39,0.15,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.19,0.00,0.19
39,0.15,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.19,0.00,0.19,10.00,0.00,10.00
40,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.19,0.00,0.19
40,0.16,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.19,0.00,0.19,10.00,0.00,10.00
41,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.19,0.00,0.19
41,0.16,AllyPrefab (1),Ally,AllyIdleState,Idling,AgentPrefab,0.20,0.00,0.20,10.00,0.00,10.00
42,0.16,AgentPrefab,Agent,MoveState,Attacking,AllyPrefab (1),10.00,0.00,10.00,0.20,0.00,0.20
